text,label,predicted_label
BSkyB sees profits rise after strong subscriber growth (AFP). AFP - British satellite broadcaster BSkyB said profit rose by 16 percent in the first quarter as the group enjoyed strong subscriber growth in the run-up to the key Christmas trading period.,World,Business
Producer sues for Rings profits. Hollywood producer Saul Zaentz sues the producers of The Lord of the Rings for $20m in royalties.,World,Business
"EU, US Talks on Aircraft Aid Grounded. US and EU negotiators disagreed on Thursday about state aid for aircraft rivals Airbus and Boeing, winding up no closer on a sensitive issue that has gathered steam before the US presidential election.",Business,World
"Maddux Wins No. 302, Baker Wins No. 1,000. Greg Maddux pitched the Chicago Cubs into the lead in the NL wild-card race and gave Dusty Baker a win to remember. Maddux threw seven shutout innings for his 302nd career win, Baker got his 1,000th victory as a manager and Chicago beat the Montreal Expos 5-2 on Monday night...",World,Sports
"Australia 362-7 v India, third test - close (Reuters). Reuters - Australia were 362 for seven wickets at the close of play on the first day of their third cricket test against India on Tuesday.",World,Sports
"E.U. Regulators Approve Oracle's PeopleSoft Bid. European Union antitrust regulators on Tuesday cleared Oracle Corp.'s hostile $7.7 billion bid for rival business software maker PeopleSoft Inc., removing one of the last major hurdles to the contested takeover proposal.",Sci_Tech,Business
EU Wants U.S. Aid to Boeing Clarified (AP). AP - The European Union on Thursday demanded Washington explain more clearly how it subsidizes Boeing Co. and warned it would counter any U.S. challenge targeting EU rival Airbus SAS before the World Trade Organization.,World,Business
Storms batter Cornish coastline. Flooding causes chaos for homeowners all along Cornwall's south coast as 80mph winds hit land.,World,Business
"Symantec Said to Be in Talks for Veritas. Symantec, which produces the Norton line of computer products, is in talks to acquire Veritas Software, a maker of data backup programs.",Business,Sci_Tech
"Supreme Court Asked To Hear File-Sharing Arguments. The file-sharing legal battle has moved to the Supreme Court, with a group composed of labor unions, sports leagues and state attorneys general asking for a hearing on a claim brought",Sci_Tech,World
Google Founders Selling Off Stock. Google Founders Selling Off Stock Is this a sign that Google stack is overpriced? Or does it just mean that since there is so much interest in Google and its shares right now that the founders decided to sell off a big part of their holdings with the search engine. Dow ...,Sci_Tech,Business
"Coors' Donation to Own Campaign Draws Ire (AP). AP - A #36;500,000 donation by Republican beer baron Pete Coors to his own Senate campaign has triggered a new federal law that eases fund-raising restrictions for his Democratic opponent.",World,Business
"CAO executives hand over passports. Executives at the collapsed China Aviation Oil Singapore have voluntarily handed over their passports to Singapore #39;s police, a spokesman said Tuesday.",Business,World
"Giga counters. They #39;re bold, brash and break most rules of business -- so why are the Google guys multi-billionaires? GOOGLE Inc had plenty to celebrate at its recent annual summer picnic -- its debut as a public company",Sci_Tech,Business
"Rivals Try to Turn Tables on Charles Schwab. By MICHAEL LIEDTKE SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",Sci_Tech,Business
"Med school move delayed to 2007. The MSU College of Human Medicine won #39;t be relocated to Grand Rapids until at least 2007, and could cost only half as much as university officials originally estimated.",Business,Sci_Tech
"Oracle chairman says can close gap with SAP - report. Oracle Corp can close the gap with SAP, the world #39;s biggest software company, after buying US rival PeopleSoft, Oracle #39;s Chairman Jeff Henley said in an interview published on Wednesday.",Business,Sci_Tech
"Henman Sails at the Swiss Indoors. &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Mark Ledsom&lt;/p&gt;&lt;p&gt; BASEL (Reuters) - Britain's world number four Tim Henmanwon his opening match at the Swiss Indoors tennis tournamentwith little difficulty on Wednesday, beating Frenchman AntonyDupuis 6-3, 6-4.&lt;/p&gt;",World,Sports
"Analysis: Iran #39;s missile capabilities. Iran has announced it has improved its missile capabilities by developing a medium-range ballistic missile, with abilities to work on longer range systems -- a steady progress that",World,Sci_Tech
"Argentina Beats U.S. Men's Basketball Team. Argentina defeated the United States team of National Basketball Association stars 89-81 here Friday in the Olympic semi-finals, dethroning the three-time defending champions.",World,Sports
"PM welcomes EU partnership. Prime Minister Manmohan Singh arrived in the Hague last night to participate in the India-European summit. quot;In recognition of Indias growing stature and influence, the EU has proposed a strategic partnership with India.",Business,World
Remark on Homosexuality Delays Seating of European Panel. The European Union #39;s normally yawn-inducing institutions raised eyebrows on Wednesday when a spat over comments about homosexuality made by an Italian bureaucrat led to the,World,Business
"'Cure' a 4-Letter Word for Cancer Doctors. At a time when more people are cured of cancer than ever before, fewer doctors seem willing to say so. They call the cancer undetectable, or in remission. They tell patients they can quit seeing cancer specialists. They quote statistics and say chances are slim that the disease will come back.",Sci_Tech,World
