palabra,frecuencia,es_stopword
say,1814,True
new,1432,False
year,850,False
company,651,False
world,609,False
win,597,False
report,549,False
game,544,False
not,531,True
oil,519,False
monday,518,False
wednesday,505,False
thursday,502,False
tuesday,495,False
friday,480,False
week,472,False
price,465,False
inc,452,False
time,450,False
million,447,False
microsoft,446,False
plan,443,False
iraq,441,False
yesterday,424,False
york,419,False
president,408,False
kill,404,False
lead,402,False
day,402,False
high,399,False
no,396,True
official,365,False
open,359,False
security,355,False
government,354,False
season,347,False
corp,341,False
group,341,False
share,339,False
rise,335,False
team,333,False
people,332,False
united,332,False
end,331,False
state,325,False
market,316,False
service,315,False
sunday,315,False
stock,315,False
take,314,True
